latitude,longitude,magnitude,deaths,affected,damages,type,risk
14.0,-91.0,8.0,2000.0,,25000.0,Earthquake,1
32.04,76.16,8.0,20000.0,,25000.0,Earthquake,1
33.05,71.4,8.0,20000.0,,100000.0,Earthquake,1
38.5,69.9,7.0,12000.0,,,Earthquake,1
44.05,6.14,6.0,46.0,,,Earthquake,0
36.0,4.0,6.0,12.0,,,Earthquake,0
-3.924,101.82,8.0,20.0,20.0,,Earthquake,0
28.0,104.0,7.0,1800.0,,,Earthquake,1
14.38,-90.22,6.0,2650.0,,,Earthquake,1
-7.0,116.0,7.0,15000.0,,,Earthquake,1
23.5,117.0,7.0,10000.0,,,Earthquake,1
36.888,105.606,9.0,180000.0,,25000.0,Earthquake,1
-28.553,-70.755,9.0,1000.0,,,Earthquake,1
31.295,100.75,7.0,5000.0,,,Earthquake,1
-1.29,-78.52,7.0,40.0,,,Earthquake,0
25.713,100.422,7.0,5000.0,,,Earthquake,1
-0.842,120.764,6.0,50.0,50.0,,Earthquake,0
37.645,102.489,8.0,40912.0,133894.0,,Earthquake,1
0.5,126.0,7.0,6.0,3075.0,,Earthquake,1
31.9,103.4,8.0,10000.0,,,Earthquake,1
6.1,94.7,7.0,9.0,20.0,,Earthquake,0
-0.557,118.881,8.0,,5630.0,,Earthquake,1
-36.305,-72.315,8.0,30000.0,58500.0,920000.0,Earthquake,1
5.552,-0.628,6.0,22.0,7630.0,,Earthquake,1
-31.432,-71.475,8.0,12.0,35.0,100000.0,Earthquake,0
-8.591,109.803,7.0,213.0,16096.0,,Earthquake,1
-31.372,68.436,7.0,10000.0,155000.0,100000.0,Earthquake,1
-26.5,-70.5,8.0,2.0,,,Earthquake,0
19.25,-69.0,8.0,73.0,,,Earthquake,1
-1.5,-78.2,7.0,6000.0,100000.0,20000.0,Earthquake,1
-38.0,-73.5,7.0,35.0,155.0,39000.0,Earthquake,0
-54.0,-71.0,8.0,6.0,18.0,5200.0,Earthquake,0
28.5,96.5,9.0,1500.0,,20000.0,Earthquake,1
-37.093,-72.866,8.0,12.0,40.0,500000.0,Earthquake,1
34.741,32.335,6.0,40.0,2600.0,,Earthquake,1
38.182,20.942,7.0,476.0,141277.0,100000.0,Earthquake,1
-22.1,-68.7,7.0,3.0,15.0,7310.0,Earthquake,0
36.283,1.467,7.0,1250.0,134250.0,6000.0,Earthquake,1
39.3,22.2,7.0,31.0,200.0,3150.0,Earthquake,0
30.0,101.8,8.0,39.0,113.0,,Earthquake,0
32.2,29.6,6.0,20.0,28.0,,Earthquake,0
36.664,25.957,8.0,53.0,100.0,,Earthquake,1
35.1,67.5,8.0,100.0,2000.0,25000.0,Earthquake,1
23.0,70.0,6.0,113.0,219.0,,Earthquake,1
-9.5,112.5,7.0,8.0,3361.0,,Earthquake,1
-38.143,-73.407,10.0,6000.0,2003000.0,550000.0,Earthquake,1
36.0,4.1,6.0,57.0,1250.0,,Earthquake,1
10.4,39.9,7.0,30.0,,,Earthquake,0
40.9,19.5,6.0,15.0,154.0,,Earthquake,0
5.173,-76.352,7.0,47.0,300.0,,Earthquake,0
38.8,-28.4,5.0,,1000.0,,Earthquake,0
-2.608,-125.952,8.0,71.0,15000.0,,Earthquake,1
-32.522,-71.233,7.0,400.0,20350.0,125000.0,Earthquake,1
35.7,4.4,6.0,2.0,49350.0,2000.0,Earthquake,1
39.4,24.0,6.0,38.0,30253.0,8000.0,Earthquake,1
-25.494,-70.55,8.0,4.0,3006.0,400.0,Earthquake,1
39.2,22.0,6.0,1.0,11050.0,4000.0,Earthquake,1
37.5,22.1,6.0,1.0,15123.0,14000.0,Earthquake,1
-3.7,119.3,6.0,71.0,100.0,,Earthquake,1
41.386,20.532,7.0,11.0,134.0,20000.0,Earthquake,0
2.849,-74.798,7.0,61.0,40200.0,600.0,Earthquake,1
43.2,-0.5,5.0,1.0,1100.0,,Earthquake,1
39.5,21.2,6.0,9.0,16583.0,5000.0,Earthquake,1
-8.965,113.017,6.0,54.0,8411.0,,Earthquake,1
17.412,73.885,7.0,177.0,52272.0,400.0,Earthquake,1
39.368,24.957,7.0,19.0,7618.0,600.0,Earthquake,1
-31.566,117.071,7.0,,4290.0,2600.0,Earthquake,1
0.157,119.802,8.0,200.0,,,Earthquake,1
22.317,111.8,6.0,3000.0,53810.0,,Earthquake,1
11.9,41.21,6.0,24.0,585.0,320.0,Earthquake,0
-3.201,118.904,7.0,64.0,6532.0,,Earthquake,1
24.185,102.543,7.0,10000.0,,,Earthquake,1
6.375,-77.438,7.0,,3006.0,400.0,Earthquake,1
-4.026,-80.542,7.0,29.0,88112.0,4000.0,Earthquake,1
21.7,73.0,5.0,26.0,200.0,,Earthquake,0
-32.601,-71.076,8.0,85.0,2348973.0,236400.0,Earthquake,1
10.679,-84.759,7.0,21.0,3745.0,200.0,Earthquake,1
28.4,104.1,7.0,20000.0,,,Earthquake,1
40.641,122.58,7.0,2000.0,,,Earthquake,1
32.455,78.43,7.0,47.0,,,Earthquake,0
36.61,67.79,6.0,50.0,90000.0,,Earthquake,1
39.57,117.978,8.0,242000.0,164000.0,5600000.0,Earthquake,1
0.782,79.804,7.0,10.0,,4000.0,Earthquake,0
15.324,-89.101,8.0,23000.0,4993000.0,1000000.0,Earthquake,1
-4.603,140.091,7.0,420.0,15000.0,25000.0,Earthquake,1
-8.17,114.888,7.0,573.0,454755.0,195000.0,Earthquake,1
-4.517,139.918,7.0,133.0,7000.0,,Earthquake,1
-11.164,118.378,8.0,185.0,3975.0,1200.0,Earthquake,1
-31.028,-67.767,7.0,70.0,40100.0,80000.0,Earthquake,1
40.739,23.229,6.0,50.0,600100.0,250000.0,Earthquake,1
40.5,142.5,8.0,18.0,24.0,,Earthquake,0
40.8,72.3,6.0,4562.0,125112.0,,Earthquake,1
39.09,42.3,6.0,3560.0,60000.0,,Earthquake,1
37.4,142.6,7.0,41.0,,,Earthquake,0
38.67,16.07,7.0,557.0,22100.0,,Earthquake,1
37.67,-122.48,8.0,700.0,84564.0,524000.0,Earthquake,1
23.6,170.5,7.0,1258.0,20452.0,,Earthquake,1
18.2,-76.8,7.0,1200.0,90000.0,30000.0,Earthquake,1
38.17,15.58,7.0,75000.0,150000.0,116000.0,Earthquake,1
33.55,48.48,8.0,5000.0,,,Earthquake,1
40.41,27.15,8.0,923.0,18195.0,,Earthquake,1
-14.2,-72.9,6.0,150.0,,,Earthquake,1
43.5,25.5,7.0,,,,Earthquake,0
39.2,139.8,7.0,94.0,1920.0,,Earthquake,1
42.02,13.26,8.0,29980.0,,60000.0,Earthquake,1
32.47,-115.33,6.0,6.0,,1000.0,Earthquake,0
8.29,124.4,8.0,100.0,,,Earthquake,1
18.06,-67.54,8.0,116.0,,29000.0,Earthquake,1
44.3,10.3,6.0,1400.0,,,Earthquake,1
35.413,139.298,8.0,143000.0,203733.0,600000.0,Earthquake,1
35.2,59.2,6.0,2200.0,,,Earthquake,1
31.922,35.633,6.0,268.0,,,Earthquake,1
35.632,135.013,7.0,3022.0,79540.0,40000.0,Earthquake,1
-41.55,172.25,8.0,17.0,,,Earthquake,0
37.8,57.8,7.0,3253.0,1121.0,,Earthquake,1
17.86,96.43,8.0,500.0,,,Earthquake,1
38.087,44.781,7.0,1360.0,,,Earthquake,1
40.922,15.377,6.0,1883.0,10000.0,5000.0,Earthquake,1
35.05,139.129,7.0,259.0,26122.0,,Earthquake,1
18.233,96.298,7.0,36.0,,,Earthquake,0
13.2,-85.7,6.0,1000.0,,15000.0,Earthquake,1
-39.659,176.42,7.0,256.0,11000.0,25000.0,Earthquake,1
11.117,161.11,8.0,50.0,,,Earthquake,0
33.62,117.97,6.0,116.0,,38500.0,Earthquake,1
39.224,144.622,8.0,3000.0,,,Earthquake,1
29.5,66.8,8.0,60000.0,25000.0,,Earthquake,1
24.3,124.3,6.0,3276.0,101588.0,,Earthquake,1
24.6,120.8,7.0,2746.0,156004.0,,Earthquake,1
39.508,33.872,7.0,149.0,800.0,,Earthquake,1
39.771,39.57,8.0,32962.0,,20000.0,Earthquake,1
39.7,10.4,6.0,13.0,,,Earthquake,0
39.209,27.164,6.0,60.0,68.0,,Earthquake,1
-10.5,-77.0,8.0,179.0,3500.0,,Earthquake,1
45.8,26.8,7.0,980.0,,10000.0,Earthquake,1
32.733,-115.5,7.0,9.0,,33000.0,Earthquake,0
22.408,99.814,7.0,15.0,,,Earthquake,0
40.87,36.732,7.0,3000.0,,,Earthquake,1
35.448,133.993,7.0,1400.0,23217.0,,Earthquake,1
-14.2,-71.5,5.0,200.0,,,Earthquake,1
40.916,33.562,8.0,4020.0,5000.0,40000.0,Earthquake,1
33.682,36.204,8.0,1223.0,80573.0,,Earthquake,1
40.696,32.992,8.0,3959.0,,,Earthquake,1
39.502,26.596,7.0,27.0,,,Earthquake,0
34.612,137.064,7.0,2306.0,22559.0,,Earthquake,1
24.927,63.601,8.0,4000.0,,25000.0,Earthquake,1
33.116,135.895,8.0,2000.0,,,Earthquake,1
53.492,-162.832,9.0,165.0,,25000.0,Earthquake,1
-8.41,-77.535,7.0,1400.0,,,Earthquake,1
39.826,54.648,7.0,400.0,,,Earthquake,1
39.3,41.2,6.0,840.0,,,Earthquake,1
33.621,58.643,7.0,400.0,,,Earthquake,1
-10.973,-74.725,8.0,233.0,,,Earthquake,1
36.5,136.0,7.0,5131.0,326000.0,1000000.0,Earthquake,1
10.5,122.0,8.0,72.0,,3500.0,Earthquake,1
37.95,58.32,7.0,110000.0,,25000.0,Earthquake,1
39.2,70.8,7.0,3500.0,,,Earthquake,1
39.0,40.5,7.0,320.0,355.0,,Earthquake,1
47.167,-122.617,7.0,8.0,,25000.0,Earthquake,0
-13.5,-72.0,6.0,83.0,200.0,,Earthquake,1
13.0,-87.5,6.0,500.0,,,Earthquake,1
13.3,-87.8,7.0,1100.0,,23000.0,Earthquake,1
40.8,33.4,7.0,54.0,150.0,,Earthquake,1
42.084,143.899,8.0,33.0,200.0,,Earthquake,0
36.5,35.5,5.0,20.0,,,Earthquake,0
39.9,41.7,6.0,103.0,250.0,,Earthquake,1
34.958,-118.998,8.0,12.0,200.0,60000.0,Earthquake,0
35.333,-118.917,6.0,2.0,270.0,10000.0,Earthquake,0
35.385,54.979,7.0,970.0,,,Earthquake,1
-3.552,-80.636,7.0,9.0,1020.0,,Earthquake,1
40.175,27.648,7.0,1200.0,50000.0,3570.0,Earthquake,1
13.0,123.9,7.0,13.0,101.0,,Earthquake,0
7.674,124.081,6.0,400.0,2000.0,5000.0,Earthquake,1
27.407,54.462,6.0,350.0,,,Earthquake,1
35.5,35.5,6.0,136.0,200.0,,Earthquake,1
16.5,-99.1,8.0,160.0,100.0,25000.0,Earthquake,1
36100.0,52700.0,7.0,2500.0,10000.0,15000.0,Earthquake,1
34.3,47.8,7.0,3000.0,5000.0,5000.0,Earthquake,1
45.5,99.5,8.0,1200.0,,,Earthquake,1
36.2,8.9,6.0,13.0,,,Earthquake,0
40.7,30.9,7.0,53.0,119.0,,Earthquake,1
34.4,47.9,7.0,191.0,984.0,,Earthquake,1
-16.5,-72.0,7.0,28.0,,,Earthquake,0
44.712,-111.215,7.0,28.0,,11000.0,Earthquake,0
18.22,-94.416,6.0,25.0,200.0,,Earthquake,0
30.45,-9.62,6.0,12000.0,25000.0,120000.0,Earthquake,1
-15.75,-72.75,8.0,63.0,200.0,,Earthquake,1
28.0,54.5,6.0,480.0,,20000.0,Earthquake,1
35.656,49.843,7.0,12000.0,103000.0,30000.0,Earthquake,1
41.4,15.5,6.0,16.0,30000.0,,Earthquake,1
32.6,21.0,5.0,300.0,5375.0,5000.0,Earthquake,1
38.67,139.195,7.0,25.0,35376.0,800000.0,Earthquake,1
60.908,-147.339,9.0,131.0,,311000.0,Earthquake,1
18.136,-100.605,7.0,45.0,4000.0,3000.0,Earthquake,1
40.203,28.206,7.0,23.0,13100.0,5000.0,Earthquake,1
23.2,120.6,7.0,107.0,62485.0,,Earthquake,1
13.5,-89.3,6.0,125.0,139720.0,35000.0,Earthquake,1
47.4,-122.3,7.0,7.0,,28000.0,Earthquake,0
-10.665,-78.228,8.0,120.0,108356.0,15000.0,Earthquake,1
29.706,80.935,6.0,80.0,20100.0,1000.0,Earthquake,1
39.235,41.572,7.0,2394.0,109500.0,20000.0,Earthquake,1
0.622,29.863,1.0,104.0,5510.0,1500.0,Earthquake,1
40.751,30.8,7.0,183.0,326073.0,3000.0,Earthquake,1
40.5,140.43,7.0,47.0,2781.0,131000.0,Earthquake,1
15.5,-92.7,6.0,15.0,500.0,,Earthquake,0
41.86,32.463,7.0,24.0,20200.0,,Earthquake,1
39.2,44.3,5.0,38.0,5100.0,1000.0,Earthquake,1
34.158,59.083,7.0,10000.0,79050.0,35000.0,Earthquake,1
37.702,13.033,6.0,224.0,55563.0,250000.0,Earthquake,1
12.1,-86.2,5.0,,2000.0,2000.0,Earthquake,1
-41.659,172.02,7.0,3.0,314.0,2669.0,Earthquake,0
-5.61,-77.086,7.0,11.0,420.0,100.0,Earthquake,0
37.1,57.9,6.0,50.0,48300.0,,Earthquake,1
-11.841,-75.051,7.0,150.0,3216.0,5000.0,Earthquake,1
38.515,28.546,7.0,53.0,350.0,,Earthquake,1
-9.183,-78.737,8.0,66794.0,3216240.0,530000.0,Earthquake,1
-4.999,145.396,7.0,15.0,4020.0,1750.0,Earthquake,1
37.733,55.885,7.0,176.0,10000.0,8000.0,Earthquake,1
-4.026,-80.542,7.0,29.0,15252.0,2000.0,Earthquake,1
39.098,29.57,7.0,1086.0,83448.0,55600.0,Earthquake,1
42.5,11.8,5.0,22.0,4220.0,41600.0,Earthquake,1
37.6,29.8,6.0,57.0,,,Earthquake,1
38.934,40.653,7.0,878.0,88665.0,5000.0,Earthquake,1
34.416,-118.37,7.0,65.0,2000.0,553000.0,Earthquake,1
28.415,52.765,7.0,5057.0,23458.0,1000.0,Earthquake,1
43.8,13.3,5.0,1.0,450.0,,Earthquake,0
12.184,-86.223,6.0,10000.0,720000.0,845000.0,Earthquake,1
36.0,73.4,6.0,100.0,5000.0,,Earthquake,1
-6.855,-76.726,6.0,12.0,1575000.0,20000.0,Earthquake,1
18.481,-102.996,8.0,56.0,390.0,,Earthquake,1
18.267,-96.598,7.0,500.0,,,Earthquake,1
13.372,122.787,7.0,14.0,64.0,450.0,Earthquake,0
34.522,138.74,7.0,30.0,73.0,,Earthquake,0
35.1,72.9,6.0,4700.0,50200.0,3255.0,Earthquake,1
-12.265,-77.795,8.0,78.0,43674.0,10000.0,Earthquake,1
-7.104,155.152,8.0,200.0,,,Earthquake,1
38.474,40.723,7.0,2385.0,53372.0,17000.0,Earthquake,1
6.262,124.023,8.0,6000.0,181348.0,134000.0,Earthquake,1
33.8,59.15,6.0,16.0,,,Earthquake,0
66.157,-16.582,6.0,1.0,6.0,,Earthquake,0
46.356,13.275,7.0,922.0,218222.0,3600000.0,Earthquake,1
-28.427,-177.657,8.0,,,,Earthquake,0
40.381,63.472,7.0,,,85000.0,Earthquake,0
41.13,43.01,5.0,2.0,6.0,,Earthquake,0
37.7,28.89,5.0,4.0,9050.0,,Earthquake,1
39.121,44.029,7.0,3840.0,216000.0,25000.0,Earthquake,1
-9.828,160.323,7.0,34.0,1001.0,,Earthquake,1
27.609,56.393,7.0,167.0,20682.0,,Earthquake,1
31.98,50.68,6.0,352.0,400200.0,,Earthquake,1
38.934,44.38,5.0,3.0,9.0,,Earthquake,0
30.95,56.47,6.0,589.0,500.0,,Earthquake,1
16.773,122.327,7.0,1.0,60030.0,100.0,Earthquake,1
45.772,26.761,8.0,1641.0,386300.0,2000000.0,Earthquake,1
-22.878,-175.9,7.0,1.0,5505.0,1200.0,Earthquake,1
38.56,40.02,5.0,30.0,,,Earthquake,0
34.809,139.259,7.0,25.0,2016.0,,Earthquake,1
38.391,15.066,6.0,5.0,900.0,,Earthquake,0
38.19,142.028,8.0,28.0,2500.0,865000.0,Earthquake,1
16.4,43.5,6.0,1200.0,8700.0,,Earthquake,1
10.5,-68.0,7.0,100.0,,,Earthquake,1
42.1,21.3,6.0,1070.0,3300.0,1000000.0,Earthquake,1
10.559,-67.33,7.0,240.0,81536.0,140000.0,Earthquake,1
42.1,19.3,5.0,1.0,15030.0,38600.0,Earthquake,1
44.9,17.3,6.0,15.0,286116.0,50000.0,Earthquake,1
-33.268,19.386,6.0,9.0,1000.0,24000.0,Earthquake,0
48.29,9.01,6.0,,235.0,150000.0,Earthquake,1
14.321,-90.082,5.0,,2040.0,,Earthquake,1
1.598,-79.358,8.0,579.0,11042.0,8000.0,Earthquake,1
42.096,19.209,7.0,35.0,350.0,,Earthquake,0
31.452,119.241,5.0,42.0,572532.0,,Earthquake,1
41.145,108.129,6.0,,2104.0,,Earthquake,1
4.805,-76.217,7.0,60.0,600.0,20000.0,Earthquake,1
36.195,1.354,7.0,2633.0,930317.0,5200000.0,Earthquake,1
38.815,-27.78,7.0,69.0,21900.0,5000.0,Earthquake,1
-1.948,-80.017,6.0,8.0,40.0,,Earthquake,0
39.203,22.729,6.0,1.0,17.0,5000.0,Earthquake,0
8.117,-72.527,5.0,10.0,,5000.0,Earthquake,0
39.481,20.699,6.0,2.0,450.0,,Earthquake,0
30.927,101.098,7.0,150.0,25850.0,,Earthquake,1
38.222,22.934,7.0,22.0,80400.0,900000.0,Earthquake,1
36.148,69.011,7.0,500.0,38000.0,1000.0,Earthquake,1
40.883,19.59,6.0,1.0,5005.0,5000.0,Earthquake,1
31.907,99.931,6.0,10.0,5.0,,Earthquake,0
9.652,-83.688,7.0,2.0,5060.0,5000.0,Earthquake,1
-26.535,-70.563,7.0,4.0,1524.0,1000.0,Earthquake,1
35.206,115.213,5.0,34.0,18700.0,,Earthquake,1
2.461,-76.686,5.0,250.0,36200.0,410900.0,Earthquake,1
8.717,-83.123,7.0,10.0,475.0,1000.0,Earthquake,0
11.866,-13.529,6.0,275.0,21436.0,,Earthquake,1
38.294,20.262,6.0,,487.0,,Earthquake,0
-33.053,-68.467,7.0,6.0,45238.0,,Earthquake,1
-33.135,-71.871,8.0,180.0,1482275.0,1500000.0,Earthquake,1
25.926,102.871,6.0,22.0,300.0,,Earthquake,0
39.431,75.224,7.0,67.0,16100.0,,Earthquake,1
36.46,6.791,6.0,30.0,,1000.0,Earthquake,0
15.299,-90.863,5.0,,5000.0,,Earthquake,1
-19.022,-69.991,7.0,5.0,5112.0,1000.0,Earthquake,1
0.151,-77.785,7.0,5000.0,150000.0,1500000.0,Earthquake,1
-0.978,-78.05,6.0,2.0,6.0,,Earthquake,0
41.529,79.318,6.0,,2085.0,,Earthquake,1
24.924,115.608,5.0,,185084.0,,Earthquake,1
35.964,1.374,4.0,1.0,3152.0,1000.0,Earthquake,1
37.938,20.932,6.0,,25.0,,Earthquake,0
13.881,-90.45,7.0,5.0,500.0,,Earthquake,0
24.688,991.57,6.0,2.0,100.0,,Earthquake,0
38.111,106.336,6.0,,50060.0,,Earthquake,1
22.789,99.611,8.0,939.0,1270364.0,269000.0,Earthquake,1
36.443,2.759,5.0,,257.0,,Earthquake,0
13.881,-90.45,6.0,,1550.0,,Earthquake,1
33.386,57.434,7.0,25000.0,40000.0,50000.0,Earthquake,1
32.14,49.65,6.0,45.0,52.0,,Earthquake,0
16.01,-96.591,8.0,9.0,3850.0,,Earthquake,1
-1.679,136.04,8.0,2.0,5005.0,,Earthquake,1
-7.656,108.252,6.0,26.0,43200.0,16000.0,Earthquake,1
-3.299,102.712,7.0,5.0,1500.0,,Earthquake,1
-8.39,115.889,6.0,32.0,619.0,,Earthquake,0
33.897,59.472,7.0,199.0,5200.0,,Earthquake,1
33.918,59.741,7.0,350.0,15055.0,,Earthquake,1
33.962,59.726,7.0,16.0,23.0,,Earthquake,0
42.812,13.061,6.0,5.0,5000.0,,Earthquake,1
17.813,-101.276,8.0,5.0,7535.0,30000.0,Earthquake,1
-16.39,-72.658,7.0,13.0,1100.0,,Earthquake,1
32.913,75.633,6.0,13.0,40.0,,Earthquake,0
34.587,50.652,6.0,20.0,,5000.0,Earthquake,0
34.503,50.59,5.0,4.0,100.0,1000.0,Earthquake,0
35.4,51.26,6.0,26.0,,,Earthquake,0
40.914,15.366,7.0,4689.0,407700.0,20000000.0,Earthquake,1
35.45,139.964,6.0,2.0,73.0,1000.0,Earthquake,0
32.2,-115.122,6.0,2.0,60.0,,Earthquake,0
18.211,-98.24,7.0,65.0,6300.0,5000.0,Earthquake,1
29.598,81.092,7.0,100.0,240600.0,245000.0,Earthquake,1
-13.347,-74.545,5.0,7.0,3000.0,1000.0,Earthquake,1
-4.576,139.232,7.0,306.0,2682.0,5000.0,Earthquake,1
35.693,73.594,6.0,250.0,2000.0,5000.0,Earthquake,1
29.913,57.715,7.0,2000.0,3000.0,5000.0,Earthquake,1
30.013,57.794,7.0,1200.0,31000.0,1000000.0,Earthquake,1
41.051,14.601,5.0,12.0,,500.0,Earthquake,0
18.048,-102.084,7.0,3.0,28.0,,Earthquake,0
29.856,66.962,4.0,6.0,237.0,,Earthquake,0
-13.166,-74.522,5.0,10.0,12256.0,,Earthquake,1
-13.144,-74.376,5.0,8.0,15.0,,Earthquake,0
-8.405,123.08,6.0,13.0,8817.0,1450.0,Earthquake,1
4.374,97.755,5.0,,15000.0,3500.0,Earthquake,1
42.158,142.361,7.0,110.0,1100.0,1000.0,Earthquake,1
43.164,12.586,4.0,,5000.0,35000.0,Earthquake,1
16.558,-98.358,7.0,9.0,17.0,,Earthquake,0
-12.69,-76.065,6.0,3.0,,5000.0,Earthquake,0
18.231,120.86,7.0,19.0,1901.0,2227.0,Earthquake,1
35.953,52.264,5.0,30.0,7066.0,5000.0,Earthquake,1
35.5,139.07,5.0,1.0,28.0,,Earthquake,0
40.462,139.102,8.0,102.0,77.0,416000.0,Earthquake,1
5.723,94.722,7.0,,100.0,1000.0,Earthquake,0
36.948,49.18,6.0,3.0,416.0,5000.0,Earthquake,0
36.372,70.738,7.0,24.0,543.0,3000.0,Earthquake,0
-4.843,-78.103,5.0,10.0,,500.0,Earthquake,0
5.392,151.868,6.0,10.0,,,Earthquake,0
-4.13,136.049,6.0,10.0,7.0,,Earthquake,0
28.399,52.997,5.0,1.0,7080.0,,Earthquake,1
18.19,-102.533,8.0,9500.0,2130204.0,4104000.0,Earthquake,1
36.19,70.896,7.0,5.0,12038.0,2000.0,Earthquake,1
-9.159,-78.887,6.0,,400.0,,Earthquake,0
7.758,123.544,7.0,2.0,175.0,,Earthquake,0
-5.599,151.045,7.0,,,1000.0,Earthquake,0
-8.247,124.155,7.0,125.0,17100.0,5000.0,Earthquake,1
-6.088,147.689,7.0,1.0,4000.0,2625.0,Earthquake,1
2.244,98.866,6.0,2.0,15001.0,,Earthquake,1
34.076,48.266,5.0,2.0,50.0,,Earthquake,0
35.38,140.214,6.0,2.0,22652.0,,Earthquake,1
33.015,-115.852,7.0,2.0,3050.0,,Earthquake,1
-37.965,176.765,7.0,1.0,7025.0,210000.0,Earthquake,1
26.755,616.0,7.0,382.0,20003766.0,71500.0,Earthquake,1
29.974,51.679,6.0,1.0,10000.0,,Earthquake,1
30.89,50.194,6.0,,3030.0,,Earthquake,1
26.755,86.616,7.0,709.0,301016.0,60000.0,Earthquake,1
36.69,39.79,5.0,,2645.0,,Earthquake,1
42.096,19.209,7.0,121.0,310100.0,450000.0,Earthquake,1
42.255,18.752,6.0,,80.0,,Earthquake,0
43.294,20.837,6.0,,5100.0,,Earthquake,1
8.045,-72.441,5.0,,186.0,,Earthquake,0
44.849,17.312,6.0,,44.0,5000.0,Earthquake,0
13.332,-89.387,7.0,20.0,32500.0,5000.0,Earthquake,1
14.701,44.379,6.0,1507.0,401500.0,2000000.0,Earthquake,1
19.43,-155.454,6.0,,6.0,6250.0,Earthquake,0
39.042,48.714,5.0,,14000.0,5000.0,Earthquake,1
40.33,42.187,7.0,1346.0,834137.0,25000.0,Earthquake,1
36.219,-120.317,5.0,,1545.0,31000.0,Earthquake,1
41.959,21.54,5.0,12.0,,,Earthquake,0
36.19,70.896,7.0,,,,Earthquake,0
40.301,69.823,6.0,29.0,8080.0,,Earthquake,1
40.31,42.307,4.0,,579.0,,Earthquake,0
41.581,22.254,5.0,,1516.0,,Earthquake,1
26.0,46.5,6.0,1.0,225558.0,730000.0,Earthquake,1
41.431,43.737,6.0,2.0,4500.0,,Earthquake,1
34.061,-118.079,6.0,8.0,2200.0,213000.0,Earthquake,1
33.013,115.838,7.0,,94.0,4000.0,Earthquake,0
40.987,44.185,7.0,25000.0,1642000.0,14000000.0,Earthquake,1
41.246,19.63,6.0,,690.0,,Earthquake,0
36.788,2.448,6.0,22.0,12184.0,,Earthquake,1
-32.967,151.619,5.0,12.0,2115.0,1000000.0,Earthquake,1
21.861,89.763,5.0,1.0,100.0,,Earthquake,0
29.987,99.195,6.0,8.0,40107.0,164000.0,Earthquake,1
39.893,113.884,5.0,29.0,105140.0,,Earthquake,1
23.553,99.526,6.0,1.0,26591.0,54000.0,Earthquake,1
29.882,106.804,5.0,4.0,52800.0,,Earthquake,1
31.583,102.433,6.0,,21404.0,,Earthquake,1
45.841,26.668,7.0,1.0,,,Earthquake,0
6.47,-71.21,6.0,2.0,3071.0,,Earthquake,1
-4.511,139.022,6.0,120.0,17196.0,,Earthquake,1
1.031,126.189,5.0,,5500.0,,Earthquake,1
-8.081,125.129,6.0,,197.0,,Earthquake,0
30.167,50.921,6.0,100.0,217.0,,Earthquake,1
16.773,-99.328,7.0,3.0,350.0,,Earthquake,0
36.961,49.414,7.0,40000.0,710000.0,8000000.0,Earthquake,1
9.725,124.625,7.0,1.0,34504.0,900.0,Earthquake,1
-6.016,-77.229,7.0,200.0,100800.0,1000.0,Earthquake,1
1.186,122.857,8.0,5.0,7036.0,,Earthquake,1
11.76,121.899,7.0,4.0,15.0,,Earthquake,0
45.841,26.668,7.0,9.0,700.0,,Earthquake,0
38.993,70.423,6.0,300.0,204794.0,10000.0,Earthquake,1
-10.199,160.855,7.0,1.0,500.0,,Earthquake,0
38.465,68.694,5.0,274.0,12051.0,24800.0,Earthquake,1
